isvalid2017,minutes2017,points2017,influence2017,creativity2017,threat2017,isvalid2018,minutes2018,points2018,influence2018,creativity2018,threat2018,isvalid2019,minutes2019,points2019,influence2019,creativity2019,threat2019,isvalidgw-less-1,minutesgw-less-1,pointsgw-less-1,influencegw-less-1,creativitygw-less-1,threatgw-less-1,athomegw-less-1,difficultygw-less-1,isvalidgw-less-2,minutesgw-less-2,pointsgw-less-2,influencegw-less-2,creativitygw-less-2,threatgw-less-2,athomegw-less-2,difficultygw-less-2,isvalidgw-less-3,minutesgw-less-3,pointsgw-less-3,influencegw-less-3,creativitygw-less-3,threatgw-less-3,athomegw-less-3,difficultygw-less-3,isvalidgw-less-4,minutesgw-less-4,pointsgw-less-4,influencegw-less-4,creativitygw-less-4,threatgw-less-4,athomegw-less-4,difficultygw-less-4,isvalidgw-less-5,minutesgw-less-5,pointsgw-less-5,influencegw-less-5,creativitygw-less-5,threatgw-less-5,athomegw-less-5,difficultygw-less-5,isvalidgw-less-6,minutesgw-less-6,pointsgw-less-6,influencegw-less-6,creativitygw-less-6,threatgw-less-6,athomegw-less-6,difficultygw-less-6,isvalidgw-less-7,minutesgw-less-7,pointsgw-less-7,influencegw-less-7,creativitygw-less-7,threatgw-less-7,athomegw-less-7,difficultygw-less-7,isvalidgw-less-8,minutesgw-less-8,pointsgw-less-8,influencegw-less-8,creativitygw-less-8,threatgw-less-8,athomegw-less-8,difficultygw-less-8,isvalidgw-less-9,minutesgw-less-9,pointsgw-less-9,influencegw-less-9,creativitygw-less-9,threatgw-less-9,athomegw-less-9,difficultygw-less-9,isvalidgw-less-10,minutesgw-less-10,pointsgw-less-10,influencegw-less-10,creativitygw-less-10,threatgw-less-10,athomegw-less-10,difficultygw-less-10,isvalidgw-less-11,minutesgw-less-11,pointsgw-less-11,influencegw-less-11,creativitygw-less-11,threatgw-less-11,athomegw-less-11,difficultygw-less-11,isvalidgw-less-12,minutesgw-less-12,pointsgw-less-12,influencegw-less-12,creativitygw-less-12,threatgw-less-12,athomegw-less-12,difficultygw-less-12,isvalidgw-less-13,minutesgw-less-13,pointsgw-less-13,influencegw-less-13,creativitygw-less-13,threatgw-less-13,athomegw-less-13,difficultygw-less-13,isvalidgw-less-14,minutesgw-less-14,pointsgw-less-14,influencegw-less-14,creativitygw-less-14,threatgw-less-14,athomegw-less-14,difficultygw-less-14,isvalidgw-less-15,minutesgw-less-15,pointsgw-less-15,influencegw-less-15,creativitygw-less-15,threatgw-less-15,athomegw-less-15,difficultygw-less-15,playerid,teamid,position,selectedby,transfersin,transfersout,diff,home,value,points
1.0,1800.0,73.0,488.2,0.0,0.0,1.0,90.0,2.0,22.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,523,16,1,3.9,6656.0,4969.0,4,1,40.0,0.0
1.0,1800.0,73.0,488.2,0.0,0.0,1.0,90.0,2.0,22.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,523,16,1,3.9,11437.0,5673.0,2,0,40.0,0.0
1.0,1800.0,73.0,488.2,0.0,0.0,1.0,90.0,2.0,22.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,523,16,1,3.9,7494.0,5926.0,3,1,40.0,0.0
1.0,3240.0,144.0,726.4,0.1,0.0,1.0,2970.0,145.0,858.2,0.0,0.0,1.0,1808.0,98.0,564.6,0.0,0.0,1.0,90.0,1.0,16.6,0.0,0.0,1.0,3,1.0,90.0,2.0,6.4,0.0,0.0,0.0,4,1.0,90.0,2.0,1.6,0.0,0.0,1.0,2,1.0,90.0,2.0,37.2,0.0,0.0,0.0,3,1.0,90.0,3.0,20.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,383,17,1,7.2,24854.0,30580.0,2,0,55.0,9.0
1.0,3240.0,144.0,726.4,0.1,0.0,1.0,2970.0,145.0,858.2,0.0,0.0,1.0,1808.0,98.0,564.6,0.0,0.0,1.0,90.0,9.0,14.6,0.0,0.0,0.0,2,1.0,90.0,1.0,16.6,0.0,0.0,1.0,3,1.0,90.0,2.0,6.4,0.0,0.0,0.0,4,1.0,90.0,2.0,1.6,0.0,0.0,1.0,2,1.0,90.0,2.0,37.2,0.0,0.0,0.0,3,1.0,90.0,3.0,20.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,383,17,1,7.2,15972.0,15102.0,2,1,55.0,2.0
1.0,3240.0,144.0,726.4,0.1,0.0,1.0,2970.0,145.0,858.2,0.0,0.0,1.0,1808.0,98.0,564.6,0.0,0.0,1.0,90.0,2.0,10.6,0.0,0.0,1.0,2,1.0,90.0,9.0,14.6,0.0,0.0,0.0,2,1.0,90.0,1.0,16.6,0.0,0.0,1.0,3,1.0,90.0,2.0,6.4,0.0,0.0,0.0,4,1.0,90.0,2.0,1.6,0.0,0.0,1.0,2,1.0,90.0,2.0,37.2,0.0,0.0,0.0,3,1.0,90.0,3.0,20.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,383,17,1,7.2,14944.0,17229.0,2,0,55.0,6.0
1.0,3240.0,144.0,726.4,0.1,0.0,1.0,2970.0,145.0,858.2,0.0,0.0,1.0,1808.0,98.0,564.6,0.0,0.0,1.0,90.0,6.0,17.8,0.0,0.0,0.0,2,1.0,90.0,2.0,10.6,0.0,0.0,1.0,2,1.0,90.0,9.0,14.6,0.0,0.0,0.0,2,1.0,90.0,1.0,16.6,0.0,0.0,1.0,3,1.0,90.0,2.0,6.4,0.0,0.0,0.0,4,1.0,90.0,2.0,1.6,0.0,0.0,1.0,2,1.0,90.0,2.0,37.2,0.0,0.0,0.0,3,1.0,90.0,3.0,20.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,383,17,1,7.2,6060.0,32478.0,4,1,55.0,10.0
1.0,3240.0,144.0,726.4,0.1,0.0,1.0,2970.0,145.0,858.2,0.0,0.0,1.0,1808.0,98.0,564.6,0.0,0.0,1.0,90.0,10.0,34.4,0.0,0.0,1.0,4,1.0,90.0,6.0,17.8,0.0,0.0,0.0,2,1.0,90.0,2.0,10.6,0.0,0.0,1.0,2,1.0,90.0,9.0,14.6,0.0,0.0,0.0,2,1.0,90.0,1.0,16.6,0.0,0.0,1.0,3,1.0,90.0,2.0,6.4,0.0,0.0,0.0,4,1.0,90.0,2.0,1.6,0.0,0.0,1.0,2,1.0,90.0,2.0,37.2,0.0,0.0,0.0,3,1.0,90.0,3.0,20.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,383,17,1,7.2,14175.0,17057.0,4,0,55.0,10.0
1.0,3240.0,144.0,726.4,0.1,0.0,1.0,2970.0,145.0,858.2,0.0,0.0,1.0,1808.0,98.0,564.6,0.0,0.0,1.0,90.0,10.0,18.8,0.0,0.0,0.0,4,1.0,90.0,10.0,34.4,0.0,0.0,1.0,4,1.0,90.0,6.0,17.8,0.0,0.0,0.0,2,1.0,90.0,2.0,10.6,0.0,0.0,1.0,2,1.0,90.0,9.0,14.6,0.0,0.0,0.0,2,1.0,90.0,1.0,16.6,0.0,0.0,1.0,3,1.0,90.0,2.0,6.4,0.0,0.0,0.0,4,1.0,90.0,2.0,1.6,0.0,0.0,1.0,2,1.0,90.0,2.0,37.2,0.0,0.0,0.0,3,1.0,90.0,3.0,20.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,383,17,1,7.2,53637.0,21800.0,3,1,55.0,6.0
1.0,3240.0,144.0,726.4,0.1,0.0,1.0,2970.0,145.0,858.2,0.0,0.0,1.0,1808.0,98.0,564.6,0.0,0.0,1.0,90.0,6.0,17.4,0.0,0.0,1.0,3,1.0,90.0,10.0,18.8,0.0,0.0,0.0,4,1.0,90.0,10.0,34.4,0.0,0.0,1.0,4,1.0,90.0,6.0,17.8,0.0,0.0,0.0,2,1.0,90.0,2.0,10.6,0.0,0.0,1.0,2,1.0,90.0,9.0,14.6,0.0,0.0,0.0,2,1.0,90.0,1.0,16.6,0.0,0.0,1.0,3,1.0,90.0,2.0,6.4,0.0,0.0,0.0,4,1.0,90.0,2.0,1.6,0.0,0.0,1.0,2,1.0,90.0,2.0,37.2,0.0,0.0,0.0,3,1.0,90.0,3.0,20.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,383,17,1,7.2,64027.0,12268.0,3,0,55.0,3.0
1.0,3240.0,144.0,726.4,0.1,0.0,1.0,2970.0,145.0,858.2,0.0,0.0,1.0,1808.0,98.0,564.6,0.0,0.0,1.0,90.0,3.0,24.2,0.0,0.0,0.0,3,1.0,90.0,6.0,17.4,0.0,0.0,1.0,3,1.0,90.0,10.0,18.8,0.0,0.0,0.0,4,1.0,90.0,10.0,34.4,0.0,0.0,1.0,4,1.0,90.0,6.0,17.8,0.0,0.0,0.0,2,1.0,90.0,2.0,10.6,0.0,0.0,1.0,2,1.0,90.0,9.0,14.6,0.0,0.0,0.0,2,1.0,90.0,1.0,16.6,0.0,0.0,1.0,3,1.0,90.0,2.0,6.4,0.0,0.0,0.0,4,1.0,90.0,2.0,1.6,0.0,0.0,1.0,2,1.0,90.0,2.0,37.2,0.0,0.0,0.0,3,1.0,90.0,3.0,20.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,383,17,1,7.2,16523.0,18630.0,5,0,56.0,5.0
1.0,3240.0,144.0,726.4,0.1,0.0,1.0,2970.0,145.0,858.2,0.0,0.0,1.0,1808.0,98.0,564.6,0.0,0.0,1.0,90.0,5.0,69.8,0.0,0.0,0.0,5,1.0,90.0,3.0,24.2,0.0,0.0,0.0,3,1.0,90.0,6.0,17.4,0.0,0.0,1.0,3,1.0,90.0,10.0,18.8,0.0,0.0,0.0,4,1.0,90.0,10.0,34.4,0.0,0.0,1.0,4,1.0,90.0,6.0,17.8,0.0,0.0,0.0,2,1.0,90.0,2.0,10.6,0.0,0.0,1.0,2,1.0,90.0,9.0,14.6,0.0,0.0,0.0,2,1.0,90.0,1.0,16.6,0.0,0.0,1.0,3,1.0,90.0,2.0,6.4,0.0,0.0,0.0,4,1.0,90.0,2.0,1.6,0.0,0.0,1.0,2,1.0,90.0,2.0,37.2,0.0,0.0,0.0,3,1.0,90.0,3.0,20.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,383,17,1,7.2,33490.0,9479.0,4,1,56.0,2.0
1.0,3240.0,144.0,726.4,0.1,0.0,1.0,2970.0,145.0,858.2,0.0,0.0,1.0,1808.0,98.0,564.6,0.0,0.0,1.0,90.0,2.0,18.0,0.0,0.0,1.0,4,1.0,90.0,5.0,69.8,0.0,0.0,0.0,5,1.0,90.0,3.0,24.2,0.0,0.0,0.0,3,1.0,90.0,6.0,17.4,0.0,0.0,1.0,3,1.0,90.0,10.0,18.8,0.0,0.0,0.0,4,1.0,90.0,10.0,34.4,0.0,0.0,1.0,4,1.0,90.0,6.0,17.8,0.0,0.0,0.0,2,1.0,90.0,2.0,10.6,0.0,0.0,1.0,2,1.0,90.0,9.0,14.6,0.0,0.0,0.0,2,1.0,90.0,1.0,16.6,0.0,0.0,1.0,3,1.0,90.0,2.0,6.4,0.0,0.0,0.0,4,1.0,90.0,2.0,1.6,0.0,0.0,1.0,2,1.0,90.0,2.0,37.2,0.0,0.0,0.0,3,1.0,90.0,3.0,20.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,383,17,1,7.2,21132.0,21897.0,3,0,56.0,3.0
1.0,3240.0,144.0,726.4,0.1,0.0,1.0,2970.0,145.0,858.2,0.0,0.0,1.0,1808.0,98.0,564.6,0.0,0.0,1.0,90.0,3.0,40.0,0.0,0.0,0.0,3,1.0,90.0,2.0,18.0,0.0,0.0,1.0,4,1.0,90.0,5.0,69.8,0.0,0.0,0.0,5,1.0,90.0,3.0,24.2,0.0,0.0,0.0,3,1.0,90.0,6.0,17.4,0.0,0.0,1.0,3,1.0,90.0,10.0,18.8,0.0,0.0,0.0,4,1.0,90.0,10.0,34.4,0.0,0.0,1.0,4,1.0,90.0,6.0,17.8,0.0,0.0,0.0,2,1.0,90.0,2.0,10.6,0.0,0.0,1.0,2,1.0,90.0,9.0,14.6,0.0,0.0,0.0,2,1.0,90.0,1.0,16.6,0.0,0.0,1.0,3,1.0,90.0,2.0,6.4,0.0,0.0,0.0,4,1.0,90.0,2.0,1.6,0.0,0.0,1.0,2,1.0,90.0,2.0,37.2,0.0,0.0,0.0,3,1.0,90.0,3.0,20.0,0.0,0.0,1.0,3,383,17,1,7.2,27557.0,12825.0,2,1,56.0,0.0
1.0,90.0,9.0,27.4,0.0,0.0,1.0,270.0,13.0,82.8,0.0,0.0,1.0,1612.0,58.0,449.8,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,393,17,1,0.2,440.0,1265.0,2,0,44.0,0.0
1.0,90.0,9.0,27.4,0.0,0.0,1.0,270.0,13.0,82.8,0.0,0.0,1.0,1612.0,58.0,449.8,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,393,17,1,0.2,224.0,924.0,2,1,44.0,0.0
1.0,90.0,9.0,27.4,0.0,0.0,1.0,270.0,13.0,82.8,0.0,0.0,1.0,1612.0,58.0,449.8,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,393,17,1,0.2,208.0,766.0,2,0,44.0,0.0
1.0,90.0,9.0,27.4,0.0,0.0,1.0,270.0,13.0,82.8,0.0,0.0,1.0,1612.0,58.0,449.8,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,393,17,1,0.2,246.0,779.0,4,1,44.0,0.0
1.0,90.0,9.0,27.4,0.0,0.0,1.0,270.0,13.0,82.8,0.0,0.0,1.0,1612.0,58.0,449.8,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,393,17,1,0.2,98.0,553.0,4,0,44.0,0.0
1.0,90.0,9.0,27.4,0.0,0.0,1.0,270.0,13.0,82.8,0.0,0.0,1.0,1612.0,58.0,449.8,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,393,17,1,0.2,222.0,647.0,3,1,44.0,0.0
1.0,90.0,9.0,27.4,0.0,0.0,1.0,270.0,13.0,82.8,0.0,0.0,1.0,1612.0,58.0,449.8,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,393,17,1,0.2,195.0,555.0,3,0,43.0,0.0
1.0,90.0,9.0,27.4,0.0,0.0,1.0,270.0,13.0,82.8,0.0,0.0,1.0,1612.0,58.0,449.8,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,393,17,1,0.2,105.0,334.0,5,0,43.0,0.0
